country,region,measure,date,category,severity,owner,source
Germany,,Recommendation Cancel > 1000,2020-03-08,events,1,kilsenp,
Germany,,Ban Events > 1000,2020-03-10,events,3,kilsenp,
Germany,,Schools closed,2020-03-13,public life,4,kilsenp,
Germany,,Football league cancelled,2020-03-16,events,3,kilsenp,https://www.bundesliga.com/en/bundesliga/news/coronavirus-what-games-are-cancelled-postponed-behind-closed-doors-overview-10410
Germany,,Limit public activities,2020-03-14,public life,3,kilsenp,
Germany,Bavaria,Travel Restrictions,2020-03-15,travel,3,kilsenp,
Germany,Bavaria,State of emergency,2020-03-16,public life,4,kilsenp,
Germany,,Travel Restrictions,2020-03-18,travel,4,kilsenp,
Germany,Bavaria,Curfew,2020-03-20,public life,5,kilsenp,
Germany,,Gatherings > 2,2020-03-22,public life,5,kilsenp,
Italy,,Travel Restrictions China,2020-01-31,travel,2,kilsenp,
Italy,Northern Italy,Quarantine,2020-02-22,public life,3,kilsenp,
Italy,Northern Italy,Schools closed,2020-02-22,public life,4,kilsenp,
Italy,Northern Italy,Football league cancelled,2020-02-22,events,3,kilsenp,
Italy,,Quarantine,2020-03-01,public life,4,kilsenp,
Italy,,Schools closed,2020-03-04,public life,4,kilsenp,
Italy,Northern Italy,Lockdown,2020-03-08,public life,5,kilsenp,
Italy,,All sporting events cancelled,2020-03-09,events,4,kilsenp,
Italy,,Lockdown leisure activity,2020-03-20,public life,5,kilsenp,
Italy,,Lockdown non-essential businesses,2020-03-21,shop,5,kilsenp,
